Distance_(pixels),Value,Y1
583,55173722112.000,55572606976.000
584,55177101312.000,55569620992.000
585,55180402688.000,55566336000.000
586,55184240640.000,55562874880.000
587,55187677184.000,55559495680.000
588,55191126016.000,55556112384.000
589,55194951680.000,55552495616.000
590,55199059968.000,55548866560.000
591,55202758656.000,55545102336.000
592,55206350848.000,55541379072.000
593,55210004480.000,55537139712.000
594,55213240320.000,55533035520.000
595,55216693248.000,55529070592.000
596,55220072448.000,55524909056.000
597,55223353344.000,55520485376.000
598,55226470400.000,55515774976.000
599,55229603840.000,55511719936.000
600,55232626688.000,55507013632.000
601,55235657728.000,55502725120.000
602,55238483968.000,55498383360.000
603,55241691136.000,55494262784.000
604,55244828672.000,55490699264.000
605,55247974400.000,55486394368.000
606,55250796544.000,55483293696.000
607,55253770240.000,55480299520.000
608,55256850432.000,55477350400.000
609,55259492352.000,55475150848.000
610,55262621696.000,55472738304.000
611,55265058816.000,55471263744.000
612,55267762176.000,55470268416.000
613,55270473728.000,55469125632.000
614,55272951808.000,55469215744.000
615,55275692032.000,55469006848.000
616,55278604288.000,55469658112.000
617,55281213440.000,55470632960.000
618,55284219904.000,55471431680.000
619,55287488512.000,55473307648.000
620,55290925056.000,55474798592.000
621,55295131648.000,55476641792.000
622,55299145728.000,55478599680.000
623,55303712768.000,55480430592.000
624,55308582912.000,55482101760.000
625,55313698816.000,55484006400.000
626,55318675456.000,55485726720.000
627,55324094464.000,55487074304.000
628,55329841152.000,55488397312.000
629,55335247872.000,55489249280.000
630,55341228032.000,55490248704.000
631,55346769920.000,55491125248.000
632,55352467456.000,55491584000.000
633,55358107648.000,55492337664.000
634,55363805184.000,55492374528.000
635,55369388032.000,55492452352.000
636,55374684160.000,55492878336.000
637,55380070400.000,55492968448.000
638,55385313280.000,55493103616.000
639,55390760960.000,55492841472.000
640,55395975168.000,55492337664.000
641,55400919040.000,55492198400.000
642,55405944832.000,55491801088.000
643,55410954240.000,55490846720.000
644,55415783424.000,55490236416.000
645,55420952576.000,55488901120.000
646,55425568768.000,55487901696.000
647,55430406144.000,55486590976.000
648,55435505664.000,55484747776.000
649,55440318464.000,55483502592.000
650,55445524480.000,55482167296.000
651,55449939968.000,55480619008.000
652,55455518720.000,55479361536.000
653,55460622336.000,55478308864.000
654,55465652224.000,55477489664.000
655,55470456832.000,55476547584.000
656,55475113984.000,55476277248.000
657,55479652352.000,55476604928.000
658,55484145664.000,55476412416.000
659,55488057344.000,55477268480.000
660,55492022272.000,55477649408.000
661,55495778304.000,55478398976.000
662,55499218944.000,55479603200.000
663,55502344192.000,55480913920.000
664,55505457152.000,55482138624.000
665,55508344832.000,55483183104.000
666,55510679552.000,55484669952.000
667,55513415680.000,55485489152.000
668,55515901952.000,55486648320.000
669,55518380032.000,55487774720.000
670,55520542720.000,55488593920.000
671,55523168256.000,55489564672.000
672,55525834752.000,55490539520.000
673,55527743488.000,55491543040.000
674,55530676224.000,55492046848.000
675,55532511232.000,55492456448.000
676,55534911488.000,55493279744.000
677,55537385472.000,55493754880.000
678,55539441664.000,55494111232.000
679,55541510144.000,55494541312.000
680,55543332864.000,55495102464.000
681,55545266176.000,55495491584.000
682,55546994688.000,55495913472.000
683,55548674048.000,55496187904.000
684,55550779392.000,55496974336.000
685,55553273856.000,55497691136.000
686,55556485120.000,55498035200.000
687,55559331840.000,55498518528.000
688,55562649600.000,55499055104.000
689,55565864960.000,55500218368.000
690,55569121280.000,55501410304.000
691,55572758528.000,55502508032.000
692,55576252416.000,55504338944.000
693,55580196864.000,55505805312.000
694,55584292864.000,55508205568.000
695,55587885056.000,55510761472.000
696,55592415232.000,55513444352.000
697,55596380160.000,55516622848.000
698,55600570368.000,55519612928.000
699,55605100544.000,55523057664.000
700,55609851904.000,55526936576.000
701,55614824448.000,55530147840.000
702,55619440640.000,55533760512.000
703,55624794112.000,55537348608.000
704,55630180352.000,55540670464.000
705,55635456000.000,55544262656.000
706,55641264128.000,55547580416.000
707,55646715904.000,55550787584.000
708,55652274176.000,55553974272.000
709,55657803776.000,55557087232.000
710,55663316992.000,55559839744.000
711,55669129216.000,55562854400.000
712,55674646528.000,55565590528.000
713,55680258048.000,55568224256.000
714,55685873664.000,55570661376.000
715,55692103680.000,55572832256.000
716,55698161664.000,55575375872.000
717,55704735744.000,55578112000.000
718,55711375360.000,55580123136.000
719,55717588992.000,55582748672.000
720,55724171264.000,55584964608.000
721,55731003392.000,55586975744.000
722,55736811520.000,55589691392.000
723,55743008768.000,55592407040.000
724,55748497408.000,55595499520.000
725,55754268672.000,55597961216.000
726,55759933440.000,55601000448.000
727,55765233664.000,55603568640.000
728,55770316800.000,55606415360.000
729,55775232000.000,55609069568.000
730,55780061184.000,55612239872.000
731,55784595456.000,55615184896.000
732,55788994560.000,55618150400.000
733,55793516544.000,55621001216.000
734,55797682176.000,55624519680.000
735,55801950208.000,55628263424.000
736,55805931520.000,55632666624.000
737,55810355200.000,55636717568.000
738,55814975488.000,55640768512.000
739,55819542528.000,55645503488.000
740,55825342464.000,55650340864.000
741,55830388736.000,55654973440.000
742,55836061696.000,55660105728.000
743,55842586624.000,55665197056.000
744,55848275968.000,55670046720.000
745,55854231552.000,55675203584.000
746,55860445184.000,55680376832.000
747,55866351616.000,55685410816.000
