E,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
(eV),keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV
1.495,2.50726E-15,4.24408E-15,6.46045E-15,1.02119E-14,1.58256E-14,2.40936E-14,1.32335E-13,7.14225E-12,1.59067E-10,1.66998E-08,6.40129E-07,7.75059E-06,4.4646E-05,0.000158014,0.000402365,0.00081517,0.001403301,0.002145575,0.003003642,0.003933412,0.004892982,0.005846841,0.006767295,0.007634135,0.008433662,0.009157409,0.009800956,0.010362924,0.010844132,0.011247001
1.51,4.18646E-15,7.08647E-15,1.07872E-14,1.70511E-14,2.64244E-14,4.02298E-14,2.20963E-13,1.19256E-11,2.656E-10,2.78841E-08,1.06884E-06,1.29414E-05,7.45469E-05,0.000263841,0.000671842,0.001361115,0.002343135,0.003582533,0.005015273,0.00656774,0.008169964,0.009762651,0.011299561,0.012746951,0.014081946,0.01529041,0.01636496,0.017303295,0.018106783,0.018779466
1.525,6.91361E-15,1.17028E-14,1.78143E-14,2.81585E-14,4.36379E-14,6.64365E-14,3.64903E-13,1.96943E-11,4.38618E-10,4.60485E-08,1.76511E-06,2.13717E-05,0.000123108,0.000435713,0.001109495,0.002247777,0.003869507,0.005916279,0.008282339,0.010846118,0.013492069,0.01612227,0.018660358,0.021050612,0.023255253,0.025250938,0.027025475,0.028575065,0.029901962,0.031012847
1.54,1.12921E-14,1.91143E-14,2.90963E-14,4.59918E-14,7.12745E-14,1.08512E-13,5.96003E-13,3.2167E-11,7.16401E-10,7.52117E-08,2.88299E-06,3.49068E-05,0.000201075,0.000711657,0.001812156,0.00367133,0.006320129,0.009663154,0.01352768,0.017715142,0.022036816,0.026332766,0.030478268,0.034382308,0.037983185,0.041242769,0.04414115,0.046672119,0.048839362,0.050653789
1.555,1.82414E-14,3.08774E-14,4.70024E-14,7.42955E-14,1.15137E-13,1.75291E-13,9.62788E-13,5.19628E-11,1.15728E-09,1.21498E-07,4.6572E-06,5.63887E-05,0.000324818,0.001149616,0.002927372,0.005930696,0.010209586,0.015609936,0.021852721,0.02861718,0.035598447,0.042538158,0.049234835,0.055541452,0.061358337,0.066623896,0.071305963,0.075394511,0.078895492,0.081826532
1.57,2.91442E-14,4.93327E-14,7.50956E-14,1.18702E-13,1.83955E-13,2.80061E-13,1.53824E-12,8.30207E-11,1.84898E-09,1.94116E-07,7.4408E-06,9.0092E-05,0.000518961,0.001836737,0.00467705,0.009475449,0.016311814,0.02493993,0.034914001,0.04572155,0.056875491,0.067963039,0.078662292,0.088738348,0.098031961,0.106444722,0.113925242,0.120457497,0.126051001,0.130733911
1.585,4.6053E-14,7.79544E-14,1.18664E-13,1.8757E-13,2.90681E-13,4.42547E-13,2.4307E-12,1.31187E-10,2.92172E-09,3.06738E-07,1.17578E-05,0.000142361,0.00082005,0.002902371,0.007390572,0.014972895,0.025775569,0.039409528,0.055170336,0.072248188,0.089873399,0.1073937,0.124300423,0.140222385,0.154907948,0.168201609,0.180022161,0.190344287,0.199183019,0.20658285
1.6,7.1974E-14,1.21831E-13,1.85455E-13,2.93144E-13,4.54291E-13,6.91635E-13,3.79882E-12,2.05027E-10,4.56622E-09,4.79387E-07,1.83757E-05,0.00022249,0.001281617,0.004535978,0.011550371,0.023400423,0.040283406,0.061591269,0.086223083,0.112913241,0.140458842,0.167840482,0.194263192,0.219146867,0.24209823,0.262874258,0.281348034,0.297479992,0.311293624,0.322858466
1.615,1.11251E-13,1.88317E-13,2.86661E-13,4.53117E-13,7.02206E-13,1.06907E-12,5.8719E-12,3.16913E-10,7.05808E-09,7.40996E-07,2.84036E-05,0.000343906,0.001981016,0.007011335,0.017853598,0.036170417,0.062266721,0.095202635,0.133276434,0.17453185,0.217109537,0.259433788,0.300275804,0.338738909,0.374215208,0.406329055,0.434884273,0.459819705,0.481171664,0.499047629
1.63,1.70078E-13,2.87892E-13,4.38238E-13,6.92711E-13,1.07351E-12,1.63436E-12,8.97677E-12,4.84487E-10,1.07902E-08,1.13281E-06,4.34225E-05,0.000525753,0.003028516,0.010718708,0.027294018,0.055296194,0.095191401,0.145542789,0.203748813,0.266818792,0.331910218,0.396614199,0.459052186,0.517853369,0.572088417,0.621183055,0.664837372,0.702957875,0.735600076,0.762928289
1.645,2.57158E-13,4.35295E-13,6.62618E-13,1.04738E-12,1.62315E-12,2.47117E-12,1.35729E-11,7.32547E-10,1.63148E-08,1.71282E-06,6.56551E-05,0.000794942,0.004579135,0.016206755,0.04126873,0.083608199,0.143930007,0.220061626,0.308069506,0.403431717,0.501850368,0.599683201,0.694089836,0.782997599,0.865001338,0.939232744,1.005238351,1.062876794,1.112232011,1.153552443
1.66,3.84562E-13,6.50953E-13,9.90898E-13,1.56629E-12,2.42731E-12,3.69545E-12,2.02973E-11,1.09547E-09,2.43976E-08,2.56139E-06,9.81825E-05,0.001188778,0.006847767,0.024236036,0.061714417,0.125030047,0.215236972,0.329086332,0.460695786,0.603303113,0.750481128,0.896783091,1.037961423,1.170916588,1.293547282,1.40455501,1.503261646,1.589455793,1.663262969,1.725054703
1.675,5.68779E-13,9.6278E-13,1.46557E-12,2.31659E-12,3.59007E-12,5.46569E-12,3.00204E-11,1.62024E-09,3.60848E-08,3.78838E-06,0.000145215,0.001758241,0.010128063,0.035845861,0.091277569,0.184923382,0.318342268,0.48672906,0.681383592,0.892304325,1.109985248,1.326370465,1.535177669,1.73182255,1.913197212,2.077381141,2.223371369,2.350855228,2.460018369,2.551410291
1.69,8.32019E-13,1.40837E-12,2.14386E-12,3.38874E-12,5.2516E-12,7.9953E-12,4.39143E-11,2.37011E-09,5.27854E-08,5.5417E-06,0.000212423,0.00257198,0.01481548,0.052435855,0.133522175,0.270508653,0.465675769,0.711994455,0.996737979,1.30527594,1.623702809,1.940234298,2.245680559,2.533335594,2.798653127,3.038823803,3.252380463,3.438865735,3.598551189,3.732240642
1.705,1.20374E-12,2.03759E-12,3.10168E-12,4.90274E-12,7.59789E-12,1.15674E-11,6.35342E-11,3.42901E-09,7.63687E-08,8.0176E-06,0.000307328,0.003721079,0.021434678,0.075862927,0.193176653,0.391365375,0.673728437,1.030096353,1.442056395,1.888441652,2.349133943,2.807084045,3.248996306,3.665168651,4.049023639,4.396496763,4.705465373,4.975267753,5.206296805,5.399715472
1.72,1.72245E-12,2.91562E-12,4.43823E-12,7.0154E-12,1.08719E-11,1.65519E-11,9.09118E-11,4.90662E-09,1.09277E-07,1.14725E-05,0.000439759,0.005324539,0.030671153,0.108553226,0.276418928,0.56000969,0.964046584,1.473977965,2.063456825,2.702195164,3.361405618,4.01669224,4.649030112,5.24453641,5.793799392,6.291003101,6.733110212,7.119173868,7.449756274,7.726521503
1.735,2.43766E-12,4.12625E-12,6.28109E-12,9.92835E-12,1.53862E-11,2.34247E-11,1.28661E-10,6.94396E-09,1.54651E-07,1.62361E-05,0.000622358,0.007535413,0.043406538,0.153627081,0.391194574,0.792538898,1.364341423,2.086008318,2.92025268,3.824210216,4.757140371,5.684517426,6.579416869,7.422191403,8.199521307,8.903175701,9.528856094,10.07522247,10.54307047,10.93475514
1.75,3.412E-12,5.77554E-12,8.79168E-12,1.38968E-11,2.15362E-11,3.27877E-11,1.80087E-10,9.7195E-09,2.16466E-07,2.27258E-05,0.000871118,0.010547366,0.060756409,0.215032808,0.547557549,1.109321767,1.909677421,2.919799193,4.087496364,5.352771512,6.658599821,7.956655419,9.209251897,10.3888888,11.47692245,12.46183201,13.33760086,14.10235337,14.75720321,15.30544675
1.765,4.72344E-12,7.99542E-12,1.21708E-11,1.92381E-11,2.98138E-11,4.539E-11,2.49305E-10,1.34553E-08,2.99667E-07,3.14607E-05,0.001205941,0.014601345,0.084108705,0.297682688,0.758016436,1.535700007,2.643679874,4.042051436,5.658563983,7.410159518,9.217895201,11.01487066,12.74891436,14.38195579,15.88818538,17.25165418,18.46403301,19.52272534,20.42927287,21.18823896
1.78,6.46724E-12,1.09472E-11,1.66641E-11,2.63405E-11,4.08205E-11,6.2147E-11,3.41344E-10,1.84227E-08,4.10299E-07,4.30754E-05,0.001651151,0.019991879,0.115160012,0.407581378,1.037861442,2.102650744,3.619675345,5.534298639,7.747596349,10.14584707,12.6209638,15.08134784,17.45556693,19.69149567,21.75379609,23.6206312,25.28059685,26.7301379,27.97136524,29.01052693
1.795,8.75773E-12,1.48243E-11,2.2566E-11,3.56695E-11,5.52778E-11,8.41576E-11,4.62237E-10,2.49475E-08,5.55613E-07,5.83313E-05,0.002235936,0.02707237,0.155946043,0.551933801,1.405439113,2.847343082,4.901649779,7.494372041,10.49154974,13.73918496,17.09090969,20.42268388,23.63777622,26.66560015,29.4583021,31.98631111,34.23418405,36.19710665,37.87793744,39.28513731
1.81,1.17294E-11,1.98545E-11,3.02231E-11,4.77728E-11,7.40347E-11,1.12714E-10,6.19083E-10,3.34127E-08,7.44144E-07,7.81244E-05,0.002994635,0.036258584,0.208861754,0.739216332,1.882333612,3.813505358,6.564880717,10.03736715,14.05154911,18.40117399,22.8902081,27.35252204,31.65856157,35.71378865,39.45411201,42.83992665,45.85054927,48.47953203,50.7307034,52.61539522
1.825,1.55372E-11,2.63E-11,4.00346E-11,6.32816E-11,9.8069E-11,1.49305E-10,8.2006E-10,4.42596E-08,9.8572E-07,0.000103486,0.003966801,0.048029415,0.276665741,0.979192365,2.493406356,5.05150545,8.696075554,13.29585516,18.613184,24.37485252,30.32118749,36.23212797,41.93606178,47.30776046,52.26232642,56.74729747,60.73527575,64.21772025,67.19970227,69.6962324
1.84,2.03555E-11,3.4456E-11,5.24498E-11,8.2906E-11,1.28481E-10,1.95606E-10,1.07437E-09,5.7985E-08,1.2914E-06,0.000135579,0.005196953,0.062923905,0.362463061,1.282851501,3.266641164,6.618037049,11.39283146,17.41905713,24.38535255,31.93378264,39.72414643,47.46813947,54.94093064,61.97845663,68.4694921,74.34530573,79.57000326,84.132395,88.03912492,91.30985857
1.855,2.63755E-11,4.46462E-11,6.79617E-11,1.07425E-10,1.66479E-10,2.53456E-10,1.39211E-09,7.51339E-08,1.67333E-06,0.000175676,0.006733937,0.081533473,0.469660488,1.662251211,4.232741069,8.575302828,14.76222921,22.57069412,31.59725175,41.37810874,51.47245063,61.50670776,71.18955582,80.30841025,88.71915116,96.33272008,103.1026072,109.0143134,114.0764476,118.3144915
1.87,3.38013E-11,5.72159E-11,8.70956E-11,1.3767E-10,2.1335E-10,3.24814E-10,1.78405E-09,9.62871E-08,2.14444E-06,0.000225135,0.00862981,0.104488409,0.601888714,2.130241461,5.424427099,10.98959381,18.9183876,28.92524792,40.49314282,53.02770254,65.96400572,78.82330785,91.23226521,102.9184422,113.6971433,123.4542366,132.1301179,139.706206,146.1935337,151.6247566
1.885,4.28428E-11,7.25206E-11,1.10393E-10,1.74495E-10,2.70419E-10,4.11698E-10,2.26126E-09,1.22043E-07,2.71806E-06,0.000285357,0.010938186,0.132437872,0.762887112,2.700056868,6.875399768,13.9291854,23.97884152,36.66242338,51.32459884,67.21201099,83.6086284,99.90764788,115.6358605,130.4479571,144.1098384,156.4768434,167.4734244,177.0760301,185.2986443,192.1826577
